RelationalID,CardType,Text
320,ReplyAll ,This is why I do not have kids
2,ReplyAll,"Darn, I have a vet appointment for my cat that day. Freckles has been having tummy aches :("
3,ReplyAll,Oh hell yea brother
4,ReplyAll,I'll check my calendar. Will get back to you.
5,ReplyAll,"I've known that guy for 10+ years. Always down for a good time, if you know what I mean ;)."
6,ReplyAll,sounds great happy to help
8,ReplyAll,lol no
9,ReplyAll,Thank you for giving me this opportunity. I will not let you down. 
10,ReplyAll,I'm cc'ing Jeff on this. He's the subject matter expert and will be taking charge. Thanks. 
11,ReplyAll,Didn't you ask me 20 minutes ago to spend the next 8 hours detailing your Porchse? How am I supposed to do both???
12,ReplyAll,Sorry for replying a week later. This must've got buried in my inbox. Happy to help if this is still a concern.
14,ReplyAll,"Are you sure after what happened last time? Sincerely, a concerned coworker"
15,ReplyAll,Omg yas girl!!!
16,ReplyAll,I got pulled into a last minute meeting and I won't be able to make it. Have fun
17,ReplyAll,I'll pencil it in.
18,ReplyAll,"I would accept your invitation, but last time was too much. "
20,ReplyAll,"Hey dude, you should probably apologize for this. Lol still isn't worse than the fish fry incident though."
21,ReplyAll,I believe you sent this to the wrong recepient
22,ReplyAll,We no longer need your help on this project or any future projects. Effective immediately
23,ReplyAll,What made you think sending this to the company wide email list was a good idea?
24,ReplyAll,Please step into my office. 
28,ReplyAll,Wow. This hit me hard. I will be mourning the loss today. Please do not email me unless urgent.
29,ReplyAll,"I remember the first project we shared. We slashed through bureacracy like a chef cutting warm butter. So skilled it brought tears to my eyes. Stil does, every now and then. "
30,ReplyAll,Thank God. Now I can finally enjoy my damn oatmeal in peace. For once. 
31,ReplyAll,Dibs on the red swingline stapler
32,ReplyAll,"I have been waiting for this day forever. Lunch margaritas, anyone?!"
33,ReplyAll,BORING
35,ReplyAll,THIS IS THE 3RD TIME THIS MONTH YOU'VE DONE THIS.
36,ReplyAll,Just a reminder to everyone: you can still opt-in to our comprehensive life insurance package.
37,ReplyAll,"[autoreply] Thanks for the email, but I'm afraid to say, I'm out of the office on this fine day. I'm on the beach, taking a dip. If you have question, text Chip. "
38,ReplyAll,"The way this day is going, being on the other end of that sounds better than being in the office."
39,ReplyAll,"You win some, you lose some. Keep your head up champ, you'll do better next time."
42,ReplyAll,what is your availablity next week? we need to hash out the numbers
43,ReplyAll,calendar pretty busy; will circle back next week
44,ReplyAll,I wouldn't miss it for the world :-) <3 #worklove
46,ReplyAll,Your leadership at this time is inspirational. I almost cried last week thinking about it. I will do whatever you say.
47,ReplyAll,This was the motivation I needed. Thank you for always having my back.
48,ReplyAll,You got me. I've been sandbagging all this quarter.
49,ReplyAll,This is the last straw. This is but one incident that exemplifies the toxic work culture here. Today is my last day. Bye.
50,ReplyAll,I don't have time for this. Netflix just came out with a new series geodes and mineral showcase series. Lesss goooooo
52,ReplyAll,Could we take this offline?
53,ReplyAll,"Hey there, thanks for bringing this to my attention. Can you add some color to the situation? "
54,ReplyAll,That was totally my youngest son. He's been exploring lately. Nothing to worry about here.
55,ReplyAll,No follow up needed. Thanks.
56,ReplyAll,"If this is about the mail order bride and or christmas party, know that we've got the situation under wraps."
58,ReplyAll,Noted
60,ReplyAll,Oh my goodness. I am so sorry. I did not mean to send that. I'm freaking out. How serious is the situation?
61,ReplyAll,I have no idea what you're talking about.
62,ReplyAll,No one bats 100%.
63,ReplyAll,But did it get some laughs???
64,ReplyAll,I hereby resign from this role and will now be pursuing a career in being a professional clown. Pleasure working with you all.
66,ReplyAll,Who are you???
67,ReplyAll,She'll be back. She's just going to the Cayman Islands for a few months and they won't give her sabbatical. 
68,ReplyAll,"You are my rock. You are my soul. I will love you with all my heart, until I'm very old. "
69,ReplyAll,haha April fools!!! Right?
70,ReplyAll,"Gonna miss you! But when one door closes another opens, mark my words partner."
73,ReplyAll,comedic gold
74,ReplyAll,still better than trying Linda's homemade deviled eggs. She's the real devil imo
75,ReplyAll,"If I were you, I wouldn't even be mad. This is objectively hilarious "
76,ReplyAll,Please stop leaving your laptop unattended. It is a HUGE liability.
77,ReplyAll,I don't get it. What is the joke?
78,ReplyAll,We will be victorious. We will go from boys to men. Men to warriors. Warriors to heros. And then heros to employees of the month. 
80,ReplyAll,Is that the one with the 'I CAN Believe Its Not Butter' sticker on it? If so I think it is mine
81,ReplyAll,That was me and I don't even give a frick
82,ReplyAll,Oh no! did the big baby have to walk a little?
83,ReplyAll,You tell em!! Don't let nobody mess with you chief
84,ReplyAll,"I'm begging, just wait until next month to fire me. My 401(k) matching is about to double."
89,ReplyAll,"I get that it was your idea. But I had the idea to use your idea, so it was basically my idea."
90,ReplyAll,"u didn't see nothin, buckaroo."
91,ReplyAll,"Sure, maybe I did nothing. But at least I wrote my name on the title slide. That's worth something, at least..."
92,ReplyAll,I loved the fart joke. Well placed.
93,ReplyAll,We should pivot and open a bar. I've been using my desk as a proof of concept and it is going graeatt
95,ReplyAll,"gonna be having a colonscopy all next week, can't go"
96,ReplyAll,"I saw a bumper sticker today. It said 'if you're reading this, you're awesome'. So I'm feeling great, no need for feedback or followup. "
97,ReplyAll,Literally this. You are a beautiful human and I will cherish all the words you plan to share with me. 
98,ReplyAll,"I fully intend to refuse ownership of any and every mistake I've made. Simply put, wasn't me."
99,ReplyAll,Another meeting about how I should have more meetings come out of my meetings. Where does this end?
101,ReplyAll,"I'm not saying this to insult you... truly I love and admire your leadership, but I'd rather die"
102,ReplyAll,So excited!!! OMG hopefully we can do role play
103,ReplyAll,"This is a form of torture that is not yet illegal, but should be"
104,ReplyAll,"Last training, the trainer wouldn't let me use the bathroom. A disaster ensued. No more trainings, please. "
105,ReplyAll,Remember when we used to watch movies in science class? Can't we just do that for the rest of the quarter?
107,ReplyAll,Here's a novel idea: why don't we interact in person instead?
108,ReplyAll,"Last time we video chatted, you didn't know it was a video chat. I saw things I didn't want to. So you can understand why I am busy."
109,ReplyAll,Tobias went to the last virtual happy hour.. he never goes to real ones. Isn't this just a video conference with extra steps?
110,ReplyAll,OH YES! WE CAN ALL SHARE FUN FACTS ABOUT OURSELVES ONE AT A TIME!
111,ReplyAll,"As long as I don't have to say anything or put my video on, I'm there."
113,ReplyAll,Oh shit
114,ReplyAll,"I told you, we need special restrooms for the software engineering team"
115,ReplyAll,I now have no idea what I'm going to do for three hours everyday. Great.
116,ReplyAll,Watch: I bet all of this incessant toilet clogging will end the day Clint quits the company
117,ReplyAll,I went in and it was an absolute warzone. Someone give me a purple heart please.
119,ReplyAll,its all about focusing on the customer journey
120,ReplyAll,I have a well defined personal routine. How am i supposed to cope?
123,ReplyAll,I am out of the office today but can someone please save me one? This is really important to me
126,ReplyAll,Haha so cute! Just want to pinch those cheeks!
127,ReplyAll,I don't know why people like babies. They just poop and cry. Adults are fine though.
128,ReplyAll,Aw cutsie wootsie woot woot i love it ha ha
129,ReplyAll,What an angel! Like a godsend from heaven 
130,ReplyAll,Awww look how grown up she looks already!
132,ReplyAll,Reading this reminds me of the time I stepped in a lego cellphone tower.
154.5,ReplyAll,"yep we are supposed to touch base in 5, we'll talk then"
134,ReplyAll,"No lie, I [expletive] with your vision heavily. Thanks for the inspiration."
136,ReplyAll,"Tell her I am busy. In fact, I am going on vacation to Argentina for some weeks. Please block off my calendar. "
137,ReplyAll,Guys! Its my birthday but you absolutely shouldn't have. This is inappropriate. 
138,ReplyAll,[[literally no reply was ever given]]
139,ReplyAll,Enron was childplay
140,ReplyAll,[AUTO REPLY] I am out of the office until further notice. I had a family emergency and need some time in solitude.
142,ReplyAll,GAG
143,ReplyAll,i don't think this was for me but if it was i'm down for the kerfaffles
144,ReplyAll,"Before you send a note, always check what you wrote. And always check to whom. The wrong inbox could be doom."
145,ReplyAll,haha whatevs i'm into it
146,ReplyAll,The things you say never cease to amaze me. You're a true poet. 
148,ReplyAll,You are a wild one
149,ReplyAll,Thank you for being so flexible with the situation
150,ReplyAll,"And just so we're being clear.... we CANNOT expense personal office foot baths, right?"
151,ReplyAll,Thanks Mom <333
152,ReplyAll,haha YOLO!
154,ReplyAll,Oh sweet! Last time we awkwardly make eye contact while I drank apple juice
155,ReplyAll,"I'm more of a taekwondo person, but I am intrigued"
156,ReplyAll,Can't knock the hustle
157,ReplyAll,Someday hopefully I'll care that little
158,ReplyAll,That's my grandpa.. haha he is a hoot
160,ReplyAll,Infinitely Terrible
161,ReplyAll,Information Technology. It is how nerdy people become rich. 
162,ReplyAll,"Don't know, don't care"
163,ReplyAll,Totally
164,ReplyAll,I think it is the internet thingy
166,ReplyAll,"Last time I spoke with them, it went rather poorly. May I call in a sub?"
167,ReplyAll,"Shareholders are like bellybuttons. We all have them, but speaking to them in public is kind of weird."
168,ReplyAll,Ha that was a joke! I was joking!
169,ReplyAll,I am no longer expecting an increase in sales. Please leave me alone to sulk.
170,ReplyAll,"Great, I'll bring my sledgehammer"
171.5,ReplyAll,I read a Blemberg article the other day that pointed out some synergies that illuminated our orthogonal technical moats
